
# 64^3: 432 grids

# 8 cores per node (-j 1):
#        MPI     threads   advection         MAC       nodal   reactions        misc       total
        432           4    4.628770    2.192820    2.592870    8.438320    3.018580   17.641700
        432           8    2.780050    1.048600    2.069960    4.287160    1.647840   10.321900


# 16 cores per node (-j 2)
#        MPI     threads   advection         MAC       nodal   reactions        misc       total
        432           4    6.777920    2.383350    2.852380   11.383500    3.848030   22.921100
        432           8    3.479560    1.587940    2.528570    5.731940    2.051700   13.405900
        432          16    2.471570    1.485020    2.434820    2.947440    1.240330    9.532690



# 48^3: 1024 grids

# 8 cores per node (-j 1)
#        MPI     threads   advection         MAC       nodal   reactions        misc       total
       1024           4    2.871490    0.912488    1.710670    4.253180    3.044610    8.763680


# 16 cores per node (-j 2)
#        MPI     threads   advection         MAC       nodal   reactions        misc       total
       1024           4    3.903310    1.353340    1.974140    5.575890    3.957430   11.477900
       1024           8    2.251370    1.304820    2.069960    2.904470    2.140810    7.927860



# 32^3: 3456 grids

# 8 cores per node (-j 1)
#        MPI     threads   advection         MAC       nodal   reactions        misc       total
       3456           4    0.986778    2.002440    5.060340    1.219650    0.888945    9.011520
       3456           8    0.644096    1.944300    5.009840    0.707571    0.557028    8.202540


# 16 cores per node (-j 2)


# I/O times writing 50 G (#s from plt00000):
# 4.264 s
# 4.171 s
# 5.081 s
# 5.260 s



