# zone    r                   rho                   T
1  1.00008618042101E+06  9.23302682790944E+08  3.29269045589696E+08
2  1.00018246111284E+06  8.86362789687716E+08  3.25125720733078E+08
3  1.00028908937672E+06  8.46452036629534E+08  3.20997887050845E+08
4  1.00040618790956E+06  8.03850709654461E+08  3.17025333400611E+08
5  1.00053374746912E+06  7.58919881965912E+08  3.13347919950076E+08
6  1.00067162257214E+06  7.12092438697396E+08  3.10087542753234E+08
7  1.00081953024873E+06  6.63860428635514E+08  3.07330214751293E+08
8  1.00097705178469E+06  6.14759355703278E+08  3.05113488773483E+08
9  1.00114363730615E+06  5.65350245796678E+08  3.03423600359085E+08
10  1.00131861299650E+06  5.16200490169289E+08  3.02203462423815E+08
11  1.00150119068129E+06  4.67864553847318E+08  3.01368489449750E+08
12  1.00169047947013E+06  4.20865633638680E+08  3.00824445401068E+08
13  1.00188549910605E+06  3.75679255652768E+08  3.00481569780298E+08
14  1.00208519464427E+06  3.32719631929722E+08  3.00261749397917E+08
15  1.00228845206455E+06  2.92329373758630E+08  3.00098544709595E+08
16  1.00249411441555E+06  2.54772909362727E+08  2.99932180934760E+08
17  1.00270099809459E+06  2.20233698306052E+08  2.99702528683171E+08
18  1.00290790888081E+06  1.88815093130160E+08  2.99343035216472E+08
19  1.00311365736131E+06  1.60544487515986E+08  2.98777863481069E+08
20  1.00331707341713E+06  1.35380222843691E+08  2.97923652239319E+08
21  1.00351701946483E+06  1.13220610616416E+08  2.96696505168268E+08
22  1.00371240216725E+06  9.39143758435059E+07  2.95020115592347E+08
23  1.00390218233655E+06  7.72718189781714E+07  2.92831923667458E+08
24  1.00408538276858E+06  6.30760320965910E+07  2.90090516983872E+08
25  1.00426109373148E+06  5.10936029441377E+07  2.86779462737335E+08
26  1.00442847582394E+06  4.10843453586947E+07  2.82909089541650E+08
27  1.00458675992985E+06  3.28097244237698E+07  2.78517695263099E+08
28  1.00473524408745E+06  2.60397751324809E+07  2.73674269309476E+08
29  1.00487328739615E+06  2.05584346027073E+07  2.68485026163459E+08
30  1.00500030186795E+06  1.61673106948346E+07  2.63106142299657E+08
31  1.00511574486111E+06  1.26879876948185E+07  2.57765500185429E+08
32  1.00521911803882E+06  9.96302062757611E+06  2.52794773759511E+08
33  1.00530998403166E+06  7.85579351592707E+06  2.48670397185478E+08
34  1.00538801772050E+06  6.24942070601667E+06  2.46060754223609E+08
35  1.00545311093243E+06  5.04472706431292E+06  2.45885362822611E+08
36  1.00550552006606E+06  4.15834953383713E+06  2.49476548152403E+08
37  1.00554602889722E+06  3.51898124516807E+06  2.59335214109035E+08
38  1.00557602933638E+06  3.06296173952048E+06  2.83677637580794E+08
39  1.00559748742648E+06  2.72033831302002E+06  3.52152303536510E+08
40  1.00561264088484E+06  2.41138526645067E+06  4.97531112170017E+08
41  1.00562301040122E+06  2.17360449492526E+06  6.20881721086849E+08
42  1.00563014083935E+06  2.02996104095443E+06  6.86611906407977E+08
43  1.00563513184202E+06  1.93834805735128E+06  7.26100026998387E+08
44  1.00563871616881E+06  1.87689896331296E+06  7.51779242739126E+08
45  1.00564136965036E+06  1.83380183185681E+06  7.69467667183029E+08
46  1.00564340037686E+06  1.80227237156341E+06  7.82260447720732E+08
47  1.00564500981475E+06  1.77824161565526E+06  7.91934239793935E+08
48  1.00564633219813E+06  1.75918032374180E+06  7.99565182934076E+08
49  1.00564745940647E+06  1.74344758968340E+06  8.05836150353750E+08
50  1.00564845668302E+06  1.72994080337322E+06  8.11200394100794E+08
51  1.00565086089968E+06  6.546E+05  8.161E+08
52  1.00565328458428E+06  6.493E+05  8.199E+08
53  1.00565572671543E+06  6.444E+05  8.228E+08
54  1.00565830101129E+06  6.113E+05  8.249E+08
55  1.00566095102885E+06  5.938E+05  8.265E+08
56  1.00566361861433E+06  5.899E+05  8.278E+08
57  1.00566630269323E+06  5.863E+05  8.288E+08
58  1.00566900245059E+06  5.829E+05  8.294E+08
59  1.00567171714350E+06  5.797E+05  8.297E+08
60  1.00567444572411E+06  5.767E+05  8.294E+08
61  1.00567718590618E+06  5.743E+05  8.284E+08
62  1.00567993533455E+06  5.723E+05  8.269E+08
63  1.00568269408595E+06  5.704E+05  8.254E+08
64  1.00568546223938E+06  5.685E+05  8.239E+08
65  1.00568823987533E+06  5.665E+05  8.223E+08
66  1.00569102707560E+06  5.646E+05  8.208E+08
67  1.00569382392327E+06  5.626E+05  8.192E+08
68  1.00569663050265E+06  5.607E+05  8.177E+08
69  1.00569944689933E+06  5.587E+05  8.161E+08
70  1.00570227320018E+06  5.568E+05  8.145E+08
71  1.00570510949332E+06  5.548E+05  8.129E+08
72  1.00570795586822E+06  5.528E+05  8.114E+08
73  1.00571081241564E+06  5.509E+05  8.098E+08
74  1.00571367922771E+06  5.489E+05  8.082E+08
75  1.00571655639794E+06  5.469E+05  8.066E+08
76  1.00571944402120E+06  5.449E+05  8.050E+08
77  1.00572234219385E+06  5.429E+05  8.034E+08
78  1.00572525101364E+06  5.409E+05  8.017E+08
79  1.00572817057985E+06  5.389E+05  8.001E+08
80  1.00573110099326E+06  5.369E+05  7.985E+08
81  1.00573404235618E+06  5.349E+05  7.968E+08
82  1.00573699477251E+06  5.329E+05  7.952E+08
83  1.00573995834775E+06  5.309E+05  7.935E+08
84  1.00574293318905E+06  5.289E+05  7.919E+08
85  1.00574591940524E+06  5.269E+05  7.902E+08
86  1.00574891710686E+06  5.249E+05  7.885E+08
87  1.00575192640618E+06  5.228E+05  7.869E+08
88  1.00575494741729E+06  5.208E+05  7.852E+08
89  1.00575798025609E+06  5.188E+05  7.835E+08
90  1.00576102504035E+06  5.167E+05  7.818E+08
91  1.00576408188974E+06  5.147E+05  7.801E+08
92  1.00576715092590E+06  5.127E+05  7.783E+08
93  1.00577023227243E+06  5.106E+05  7.766E+08
94  1.00577332605502E+06  5.085E+05  7.749E+08
95  1.00577643240140E+06  5.065E+05  7.732E+08
96  1.00577955144146E+06  5.044E+05  7.714E+08
97  1.00578268330726E+06  5.024E+05  7.697E+08
98  1.00578582813311E+06  5.003E+05  7.679E+08
99  1.00578898605560E+06  4.982E+05  7.661E+08
100  1.00579215721364E+06  4.961E+05  7.644E+08
101  1.00579534174857E+06  4.940E+05  7.626E+08
102  1.00579853980416E+06  4.919E+05  7.608E+08
103  1.00580175152669E+06  4.898E+05  7.590E+08
104  1.00580497706504E+06  4.877E+05  7.572E+08
105  1.00580821657070E+06  4.856E+05  7.554E+08
106  1.00581147019786E+06  4.835E+05  7.535E+08
107  1.00581473810348E+06  4.814E+05  7.517E+08
108  1.00581802044738E+06  4.793E+05  7.499E+08
109  1.00582131739226E+06  4.772E+05  7.480E+08
110  1.00582462910380E+06  4.750E+05  7.461E+08
111  1.00582795575075E+06  4.729E+05  7.443E+08
112  1.00583129750498E+06  4.708E+05  7.424E+08
113  1.00583465454160E+06  4.686E+05  7.405E+08
114  1.00583802703900E+06  4.665E+05  7.386E+08
115  1.00584141517895E+06  4.643E+05  7.367E+08
116  1.00584481914671E+06  4.621E+05  7.348E+08
117  1.00584823913109E+06  4.600E+05  7.329E+08
118  1.00585167532458E+06  4.578E+05  7.309E+08
119  1.00585512792342E+06  4.556E+05  7.290E+08
120  1.00585859712772E+06  4.534E+05  7.270E+08
121  1.00586208314155E+06  4.512E+05  7.251E+08
122  1.00586558617306E+06  4.491E+05  7.231E+08
123  1.00586910643461E+06  4.469E+05  7.211E+08
124  1.00587264414284E+06  4.446E+05  7.191E+08
125  1.00587619951883E+06  4.424E+05  7.171E+08
126  1.00587977278824E+06  4.402E+05  7.151E+08
127  1.00588336418138E+06  4.380E+05  7.131E+08
128  1.00588697393341E+06  4.358E+05  7.111E+08
129  1.00589060228443E+06  4.335E+05  7.090E+08
130  1.00589424947967E+06  4.313E+05  7.069E+08
131  1.00589791576962E+06  4.290E+05  7.049E+08
132  1.00590160141016E+06  4.268E+05  7.028E+08
133  1.00590530666279E+06  4.245E+05  7.007E+08
134  1.00590903179473E+06  4.222E+05  6.986E+08
135  1.00591277707913E+06  4.200E+05  6.965E+08
136  1.00591654279526E+06  4.177E+05  6.944E+08
137  1.00592032922868E+06  4.154E+05  6.922E+08
138  1.00592413667145E+06  4.131E+05  6.901E+08
139  1.00592796542233E+06  4.108E+05  6.879E+08
140  1.00593181578700E+06  4.085E+05  6.857E+08
141  1.00593568807828E+06  4.062E+05  6.835E+08
142  1.00593958261636E+06  4.039E+05  6.813E+08
143  1.00594349972905E+06  4.015E+05  6.791E+08
144  1.00594743975200E+06  3.992E+05  6.769E+08
145  1.00595140302904E+06  3.968E+05  6.746E+08
146  1.00595538991236E+06  3.945E+05  6.724E+08
147  1.00595940076287E+06  3.921E+05  6.701E+08
148  1.00596343595044E+06  3.898E+05  6.678E+08
149  1.00596749585427E+06  3.874E+05  6.655E+08
150  1.00597158086317E+06  3.850E+05  6.632E+08
151  1.00597569137594E+06  3.826E+05  6.608E+08
152  1.00597982780168E+06  3.802E+05  6.585E+08
153  1.00598399056020E+06  3.778E+05  6.561E+08
154  1.00598818008241E+06  3.754E+05  6.537E+08
155  1.00599239681069E+06  3.730E+05  6.513E+08
156  1.00599664119938E+06  3.705E+05  6.489E+08
157  1.00600091371518E+06  3.681E+05  6.465E+08
158  1.00600521483762E+06  3.656E+05  6.440E+08
159  1.00600954505958E+06  3.632E+05  6.416E+08
160  1.00601390488781E+06  3.607E+05  6.391E+08
161  1.00601829484345E+06  3.582E+05  6.366E+08
162  1.00602271546259E+06  3.557E+05  6.341E+08
163  1.00602716729694E+06  3.532E+05  6.315E+08
164  1.00603165091437E+06  3.507E+05  6.290E+08
165  1.00603616689965E+06  3.482E+05  6.264E+08
166  1.00604071585510E+06  3.457E+05  6.238E+08
167  1.00604529840136E+06  3.431E+05  6.212E+08
168  1.00604991517815E+06  3.406E+05  6.186E+08
169  1.00605456684509E+06  3.380E+05  6.159E+08
170  1.00605925408260E+06  3.355E+05  6.132E+08
171  1.00606397759276E+06  3.329E+05  6.105E+08
172  1.00606873810031E+06  3.303E+05  6.078E+08
173  1.00607353635366E+06  3.277E+05  6.050E+08
174  1.00607837312600E+06  3.251E+05  6.023E+08
175  1.00608324921640E+06  3.225E+05  5.995E+08
176  1.00608816545106E+06  3.198E+05  5.967E+08
177  1.00609312268461E+06  3.172E+05  5.938E+08
178  1.00609812180141E+06  3.145E+05  5.910E+08
179  1.00610316371708E+06  3.118E+05  5.881E+08
180  1.00610824938000E+06  3.092E+05  5.852E+08
181  1.00611337977298E+06  3.065E+05  5.822E+08
182  1.00611855591499E+06  3.038E+05  5.792E+08
183  1.00612377886302E+06  3.010E+05  5.762E+08
184  1.00612904971408E+06  2.983E+05  5.732E+08
185  1.00613436960736E+06  2.955E+05  5.702E+08
186  1.00613973972643E+06  2.928E+05  5.671E+08
187  1.00614516130171E+06  2.900E+05  5.640E+08
188  1.00615063561309E+06  2.872E+05  5.608E+08
189  1.00615616399268E+06  2.844E+05  5.576E+08
190  1.00616174782782E+06  2.815E+05  5.544E+08
191  1.00616738856431E+06  2.787E+05  5.512E+08
192  1.00617308770983E+06  2.758E+05  5.479E+08
193  1.00617884683771E+06  2.730E+05  5.445E+08
194  1.00618466759090E+06  2.701E+05  5.412E+08
195  1.00619055168637E+06  2.672E+05  5.378E+08
196  1.00619650091969E+06  2.642E+05  5.344E+08
197  1.00620251717021E+06  2.613E+05  5.309E+08
198  1.00620860240648E+06  2.583E+05  5.274E+08
199  1.00621475869225E+06  2.553E+05  5.238E+08
200  1.00622098819294E+06  2.523E+05  5.202E+08
201  1.00622729318268E+06  2.493E+05  5.166E+08
202  1.00623367605202E+06  2.463E+05  5.129E+08
203  1.00624013931636E+06  2.432E+05  5.091E+08
204  1.00624668562509E+06  2.401E+05  5.053E+08
205  1.00625331777167E+06  2.370E+05  5.015E+08
206  1.00626003870475E+06  2.339E+05  4.976E+08
207  1.00626685154027E+06  2.307E+05  4.936E+08
208  1.00627375957491E+06  2.275E+05  4.896E+08
209  1.00628076630092E+06  2.243E+05  4.855E+08
210  1.00628787542250E+06  2.211E+05  4.814E+08
211  1.00629509087401E+06  2.178E+05  4.772E+08
212  1.00630241684027E+06  2.145E+05  4.730E+08
213  1.00630985777908E+06  2.112E+05  4.686E+08
214  1.00631741844651E+06  2.079E+05  4.642E+08
215  1.00632510392520E+06  2.045E+05  4.597E+08
216  1.00633291965624E+06  2.011E+05  4.552E+08
217  1.00634087147500E+06  1.976E+05  4.505E+08
218  1.00634896565185E+06  1.942E+05  4.458E+08
219  1.00635720893825E+06  1.906E+05  4.410E+08
220  1.00636560861937E+06  1.871E+05  4.361E+08
221  1.00637417257419E+06  1.835E+05  4.311E+08
222  1.00638290934464E+06  1.799E+05  4.260E+08
223  1.00639182821525E+06  1.762E+05  4.208E+08
224  1.00640093930547E+06  1.725E+05  4.154E+08
225  1.00641025367728E+06  1.687E+05  4.100E+08
226  1.00641978346095E+06  1.649E+05  4.044E+08
227  1.00642954200324E+06  1.610E+05  3.987E+08
228  1.00643954404285E+06  1.571E+05  3.928E+08
229  1.00644980591947E+06  1.531E+05  3.868E+08
230  1.00646034582476E+06  1.491E+05  3.806E+08
231  1.00647118410579E+06  1.450E+05  3.742E+08
232  1.00648234363510E+06  1.408E+05  3.677E+08
233  1.00649385026588E+06  1.365E+05  3.609E+08
234  1.00650573339754E+06  1.322E+05  3.539E+08
235  1.00651802668610E+06  1.278E+05  3.467E+08
236  1.00653076894703E+06  1.233E+05  3.392E+08
237  1.00654400531818E+06  1.187E+05  3.314E+08
238  1.00655778877991E+06  1.140E+05  3.233E+08
239  1.00657218217557E+06  1.091E+05  3.148E+08
240  1.00658726094799E+06  1.042E+05  3.059E+08
241  1.00660311692682E+06  9.906E+04  2.966E+08
242  1.00661986370317E+06  9.379E+04  2.867E+08
243  1.00663764448239E+06  8.833E+04  2.763E+08
244  1.00665664396082E+06  8.267E+04  2.651E+08
245  1.00667710705688E+06  7.675E+04  2.532E+08
246  1.00669937001844E+06  7.054E+04  2.402E+08
247  1.00672391559321E+06  6.398E+04  2.259E+08
248  1.00675147798113E+06  5.697E+04  2.098E+08
249  1.00678327095752E+06  4.939E+04  1.917E+08
250  1.00682157793863E+06  4.099E+04  1.697E+08
251  1.00687174516882E+06  3.129E+04  1.431E+08
252  1.00695963539707E+06  1.786E+04  1.121E+08
