# VERSION 10104 -- Thu Aug 27 17:55:27 2009 UTC -- created by woosley on banzai.ucolick.org from file /data/woosley/banzai/u/woosley/cdef/fudgc#t8eq65
  grid    cell outer total mass        cell outer radius      cell outer velocity             cell density         cell temperature            cell pressure     cell specific energy    cell specific entropy    cell angular velocity               cell A_bar                 cell Y_e       stability   NETWORK                 neutrons                       H1                      He3                      He4                      C12                      N14                      O16                     Ne20                     Mg24                     Si28                      S32                     Ar36                     Ca40                     Ti44                     Cr48                     Fe52                     Fe54                     Ni56                     Fe56                     'Fe'
   1:    9.9999999999607598E+28   2.0931028478783807E+06   1.1368098201492700E+01   2.6033927129099412E+09   6.5000840395404565E+08   1.7398328017603709E+27   1.7850847375091533E+18   8.7578215617990429E-01   0.0000000000000000E+00   1.3764723665458568E+01   5.0000000000000000E-01       radiative    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.5532627225897085E-11   4.9358018177564916E-01   0.0000000000000000E+00   4.9578575722308876E-01   1.0572166621608346E-02   6.1873315827504905E-05   2.1008273822795106E-08   1.4955164698149411E-14   7.1692359611478422E-22   7.1790786326859014E-31   1.4876975226438632E-41   3.7999730898720187E-54   5.3427528740081147E-68   0.0000000000000000E+00   3.4889056659987155E-85                      ---                      ---
   2:    2.4523015847725093E+29   2.8234348160867123E+06   1.1277411288788629E+01   2.5994723904797511E+09   6.5316328931995463E+08   1.7364420362145372E+27   1.7841724049633684E+18   8.7725281238296449E-01   0.0000000000000000E+00   1.3742580305432508E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   4.2661329013172279E-11   4.9639124409260066E-01   0.0000000000000000E+00   4.9762978074249253E-01   5.9539598402519392E-03   2.5010401070079396E-05   4.8809122993768916E-09   1.8045652482983494E-15   4.3260600057834332E-23   2.1981176957019584E-32   2.3448843272576899E-43   3.3575583229425822E-56   3.3277794120289599E-70   0.0000000000000000E+00   2.1258154376500450E-87                      ---                      ---
   3:    4.4308952902951118E+29   3.4399684016552879E+06   1.2217327729500658E+01   2.5955467637519984E+09   6.5257814037731171E+08   1.7329284044904201E+27   1.7831630852685683E+18   8.7727610646353127E-01   0.0000000000000000E+00   1.3742579297011513E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   4.2535980237389238E-11   4.9639137229971608E-01   0.0000000000000000E+00   4.9762986534575843E-01   5.9537480462358008E-03   2.5009385417146766E-05   4.8803253427495700E-09   1.8042746450460324E-15   4.3250688743988306E-23   2.1974806604209711E-32   2.3440194448871542E-43   3.3561005597120036E-56   3.3264049434352102E-70   0.0000000000000000E+00   2.1250987377916762E-87                      ---                      ---
   4:    6.9611778106595762E+29   4.0003631351009090E+06   1.3408250118714866E+01   2.5913141339636154E+09   6.5194625052973056E+08   1.7291419917005391E+27   1.7820736963262781E+18   8.7730120917800858E-01   0.0000000000000000E+00   1.3742577825904906E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   4.2354277368570563E-11   4.9639155933127749E-01   0.0000000000000000E+00   4.9762998876525644E-01   5.9534390795458825E-03   2.5007902083216654E-05   4.8794714802551135E-09   1.8038517947569358E-15   4.3236282769061933E-23   2.1965554003641296E-32   2.3427651501541512E-43   3.3539897859916829E-56   3.3244149207592624E-70   0.0000000000000000E+00   2.1240598059076596E-87                      ---                      ---
   5:    9.9999999999953474E+29   4.5153730027975785E+06   1.4653177042271086E+01   2.5868206293151174E+09   6.5127456126976633E+08   1.7251244867758950E+27   1.7809158737475571E+18   8.7732787377896748E-01   0.0000000000000000E+00   1.3742575995381129E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   4.2129565100457358E-11   4.9639179205823980E-01   0.0000000000000000E+00   4.9763014233612612E-01   5.9530546310241740E-03   2.5006054056935883E-05   4.8784122845083512E-09   1.8033271273985515E-15   4.3218429567022635E-23   2.1954096453745198E-32   2.3412145368225814E-43   3.3513848930889544E-56   3.3219592219449888E-70   0.0000000000000000E+00   2.1227760197800650E-87                      ---                      ---
   6:    1.3428633252745263E+30   4.9834236111063315E+06   1.5860624182886149E+01   2.5821996740378056E+09   6.5058302538910794E+08   1.7209954867036133E+27   1.7797238233828303E+18   8.7735532439142805E-01   0.0000000000000000E+00   1.3742573905957368E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   4.1874577518625144E-11   4.9639205770130373E-01   0.0000000000000000E+00   4.9763031762465210E-01   5.9526158130565219E-03   2.5003941894568767E-05   4.8772072333128143E-09   1.8027300571562606E-15   4.3198138636366795E-23   2.1941085471718526E-32   2.3394567894417824E-43   3.3484374458367477E-56   3.3191807603108000E-70   0.0000000000000000E+00   2.1213213804447119E-87                      ---                      ---
   7:    1.7264416518296091E+30   5.4207770163566116E+06   1.7032416108200611E+01   2.5774990149845066E+09   6.4987880725935042E+08   1.7167978262869227E+27   1.7785097646031053E+18   8.7738328789484132E-01   0.0000000000000000E+00   1.3742571615661287E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   4.1596619940884702E-11   4.9639234888310824E-01   0.0000000000000000E+00   4.9763050976208861E-01   5.9521348136990174E-03   2.5001623605560203E-05   4.8758907096525848E-09   1.8020775874276969E-15   4.3175993759420677E-23   2.1926897902176065E-32   2.3375435014680142E-43   3.3452351118596265E-56   3.3161621616881269E-70   0.0000000000000000E+00   2.1197386413313842E-87                      ---                      ---
   8:    2.1519480749731376E+30   5.8360557299696757E+06   1.8172655330222810E+01   2.5726883211790681E+09   6.4915736249465525E+08   1.7125045807938274E+27   1.7772657711054607E+18   8.7741195261253468E-01   0.0000000000000000E+00   1.3742569131956110E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   4.1296792529956561E-11   4.9639266465489373E-01   0.0000000000000000E+00   4.9763071812175824E-01   5.9516132014287952E-03   2.4999106143309388E-05   4.8744678410987381E-09   1.8013722292511264E-15   4.3152085542354806E-23   2.1911594051758297E-32   2.3354834148747907E-43   3.3417935369317811E-56   3.3129181326915799E-70   0.0000000000000000E+00   2.1180350445592672E-87                      ---                      ---
   9:    2.6199836119821814E+30   6.2341521438265052E+06   1.9284393351808973E+01   2.5677559619264841E+09   6.4841692613618171E+08   1.7081055703630039E+27   1.7759887199548001E+18   8.7744139540272859E-01   0.0000000000000000E+00   1.3742566462811316E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   4.0976251063534823E-11   4.9639300400353847E-01   0.0000000000000000E+00   4.9763094203451730E-01   5.9510526510347548E-03   2.4996396977860363E-05   4.8729440307303185E-09   1.8006166300565348E-15   4.3126509063216608E-23   2.1895237004531633E-32   2.3332856186538593E-43   3.3381288861706935E-56   3.3094638456383759E-70   0.0000000000000000E+00   2.1162180812649764E-87                      ---                      ---
  10:    3.1304576633028770E+30   6.6179047585754618E+06   2.0369302853445188E+01   2.5627020810346384E+09   6.4765749005888736E+08   1.7036011382431491E+27   1.7746785238500211E+18   8.7747162274155999E-01   0.0000000000000000E+00   1.3742563618389131E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   4.0636403636976653E-11   4.9639336563713937E-01   0.0000000000000000E+00   4.9763118064729062E-01   5.9504552977739482E-03   2.4993505822460360E-05   4.8713258985789309E-09   1.7998140412253956E-15   4.3099379556316302E-23   2.1877902591720624E-32   2.3309608716640367E-43   3.3342600210880854E-56   3.3058169901938215E-70   0.0000000000000000E+00   2.1142965821931396E-87                      ---                      ---
  11:    3.6825249259031809E+30   6.9889261255489606E+06   2.1427898611613450E+01   2.5575351209866714E+09   6.4688029068901324E+08   1.6989990220089547E+27   1.7733372475630684E+18   8.7750259113756934E-01   0.0000000000000000E+00   1.3742560611658105E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   4.0278976055503224E-11   4.9639374790699831E-01   0.0000000000000000E+00   4.9763143287162109E-01   5.9498238661884759E-03   2.4990445280271581E-05   4.8696215981754646E-09   1.7989684762618004E-15   4.3070837546384167E-23   2.1859682582420278E-32   2.3285220062085015E-43   3.3302091304250482E-56   3.3019983691692425E-70   0.0000000000000000E+00   2.1122810496529044E-87                      ---                      ---
  12:    4.2745430717472685E+30   7.3480565654253904E+06   2.2459819884915898E+01   2.5522697971001863E+09   6.4608751108877027E+08   1.6943125253004558E+27   1.7719685956561208E+18   8.7753421887130068E-01   0.0000000000000000E+00   1.3742557458545072E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.9906021475573067E-11   4.9639414878829830E-01   0.0000000000000000E+00   4.9763169737094753E-01   5.9491617019704086E-03   2.4987231025582931E-05   4.8678408660713788E-09   1.7980847367345006E-15   4.3041049488962916E-23   2.1840684994550419E-32   2.3259839434243408E-43   3.3260017128627312E-56   3.2980318855051810E-70   0.0000000000000000E+00   2.1101836714998510E-87                      ---                      ---
  13:    4.9040548040414248E+30   7.6956340350551531E+06   2.3464077110868249E+01   2.5469257341007504E+09   6.4528208072571349E+08   1.6895592846521581E+27   1.7705775693717870E+18   8.7756639378778056E-01   0.0000000000000000E+00   1.3742554177830675E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.9519899817912418E-11   4.9639456589338204E-01   0.0000000000000000E+00   4.9763197256939484E-01   5.9484727499722898E-03   2.4983881724620465E-05   4.8659949260625135E-09   1.7971683662030262E-15   4.3010205985729960E-23   2.1821032862225944E-32   2.3233635035965846E-43   3.3216662230699573E-56   3.2939442141136601E-70   0.0000000000000000E+00   2.1080181691333264E-87                      ---                      ---
  14:    5.5677969247037119E+30   8.0316658960891161E+06   2.4439252063960975E+01   2.5415264183306637E+09   6.4446752145831203E+08   1.6847603211913254E+27   1.7691702032741471E+18   8.7759897923388819E-01   0.0000000000000000E+00   1.3742550790873088E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.9123237669690740E-11   4.9639499650687446E-01   0.0000000000000000E+00   4.9763225667497513E-01   5.9477614961398455E-03   2.4980418779510765E-05   4.8640962997200480E-09   1.7962255576047907E-15   4.2978518458392755E-23   2.1800862033600352E-32   2.3206790909060008E-43   3.3172335175509736E-56   3.2897642869968791E-70   0.0000000000000000E+00   2.1057995452731372E-87                      ---                      ---
  15:    6.2617378337997012E+30   8.3559447139972579E+06   2.5383658442121714E+01   2.5360983023217525E+09   6.4364781544344842E+08   1.6799392314729949E+27   1.7677533397159368E+18   8.7763181913264676E-01   0.0000000000000000E+00   1.3742547321208441E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.8718874927057992E-11   4.9639543763647798E-01   0.0000000000000000E+00   4.9763254771312521E-01   5.9470328835652337E-03   2.4976865942738596E-05   4.8621585535341904E-09   1.7952630290315472E-15   4.2946214802458823E-23   2.1780318338992884E-32   2.3179502999284133E-43   3.3127361816986630E-56   3.2855226678995799E-70   0.0000000000000000E+00   2.1035437701940501E-87                      ---                      ---
  16:    6.9811435023736388E+30   8.6681302269312218E+06   2.6295471724746040E+01   2.5306699834313049E+09   6.4282728328137362E+08   1.6751214478057925E+27   1.7663344203384131E+18   8.7766474268160555E-01   0.0000000000000000E+00   1.3742543794057452E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.8309802061415075E-11   4.9639588607569696E-01   0.0000000000000000E+00   4.9763284356810966E-01   5.9462922088458752E-03   2.4973248830373698E-05   4.8601960014947168E-09   1.7942878771389275E-15   4.2913534345415083E-23   2.1759554341193439E-32   2.3151974734308413E-43   3.3082077887086044E-56   3.2812508635535059E-70   0.0000000000000000E+00   2.1012674300041361E-87                      ---                      ---
  17:    7.7206704983561684E+30   8.9678097529878933E+06   2.7172835393520693E+01   2.5252714211066985E+09   6.4201046709275270E+08   1.6703335367063126E+27   1.7649212857080701E+18   8.7769756890045636E-01   0.0000000000000000E+00   1.3742540235769706E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.7899092029530922E-11   4.9639633847448683E-01   0.0000000000000000E+00   4.9763314202964487E-01   5.9455450053697532E-03   2.4969594364932733E-05   4.8582233823571272E-09   1.7933074176613307E-15   4.2880722436186527E-23   2.1738725878886667E-32   2.3124412402076332E-43   3.3036821384592445E-56   3.2769806160349295E-70   0.0000000000000000E+00   2.0989873595856810E-87                      ---                      ---
  18:    8.4744831964120764E+30   9.2545441246517897E+06   2.8013948513742058E+01   2.5199331804435620E+09   6.4120201668706095E+08   1.6656025246378354E+27   1.7635219794288033E+18   8.7773011111279631E-01   0.0000000000000000E+00   1.3742536673230282E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.7489829922375546E-11   4.9639679141469839E-01   0.0000000000000000E+00   4.9763344084267924E-01   5.9447969186936832E-03   2.4965930172197231E-05   4.8562555261658380E-09   1.7923290202051025E-15   4.2848024909976810E-23   2.1717988559044488E-32   2.3097020537147567E-43   3.2991925101509414E-56   3.2727432072207254E-70   0.0000000000000000E+00   2.0967202760466935E-87                      ---                      ---
  19:    9.2363909657969134E+30   9.5279033824757971E+06   2.8817138231292226E+01   2.5146857026595750E+09   6.4040657894854760E+08   1.6609552515844263E+27   1.7621445570796854E+18   8.7776218136339279E-01   0.0000000000000000E+00   1.3742533133255096E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.7085043542314201E-11   4.9639724148695019E-01   0.0000000000000000E+00   4.9763373775810715E-01   5.9440535795806703E-03   2.4962283958831789E-05   4.8543070248644481E-09   1.7913599446497343E-15   4.2815682672551698E-23   2.1697494351882686E-32   2.3069997513679169E-43   3.2947709600606172E-56   3.2685688040924038E-70   0.0000000000000000E+00   2.0944824277763869E-87                      ---                      ---
