# VERSION 10104 -- Thu Aug 27 17:55:11 2009 UTC -- created by woosley on banzai.ucolick.org from file /data/woosley/banzai/u/woosley/cdef/fudgc#t8eq6
  grid    cell outer total mass        cell outer radius      cell outer velocity             cell density         cell temperature            cell pressure     cell specific energy    cell specific entropy    cell angular velocity               cell A_bar                 cell Y_e       stability   NETWORK                 neutrons                       H1                      He3                      He4                      C12                      N14                      O16                     Ne20                     Mg24                     Si28                      S32                     Ar36                     Ca40                     Ti44                     Cr48                     Fe52                     Fe54                     Ni56                     Fe56                     'Fe'
   1:    9.9999999999607598E+28   2.0746178464367485E+06   9.3366450464756201E-01   2.6736038762760334E+09   5.9989428978759503E+08   1.8018799006692461E+27   1.8022261574801024E+18   8.6835234037290476E-01   0.0000000000000000E+00   1.3734432898100277E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.7369798170247852E-12   4.9742773687497299E-01   0.0000000000000000E+00   4.9831271047957315E-01   4.2440736930931472E-03   1.5477268705407193E-05   1.6809115056549564E-09   3.5760298098904115E-16   4.1918602197357876E-24   9.3037023253840634E-34   3.2887284826837408E-45   1.0667945384139518E-58   1.9261289189701197E-73   0.0000000000000000E+00   1.7752813949401407E-91                      ---                      ---
   2:    2.4523015847725093E+29   2.7984720328276730E+06   1.2594014872308776E+00   2.6697127518126245E+09   5.9936764804302073E+08   1.7983666639352590E+27   1.8012448104131174E+18   8.6837833473932025E-01   0.0000000000000000E+00   1.3734432573326925E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.7358654328274360E-12   4.9742777822210754E-01   0.0000000000000000E+00   4.9831273775084889E-01   4.2440053838818997E-03   1.5476959600817585E-05   1.6808182066456493E-09   3.5757550160934321E-16   4.1913779970203622E-24   9.3022124789062386E-34   3.2879671405283174E-45   1.0664289886929234E-58   1.9252587495937746E-73   0.0000000000000000E+00   1.7743018776484322E-91                      ---                      ---
   3:    4.4308952902951118E+29   3.4095447048010444E+06   1.5343669602768921E+00   2.6656784477396007E+09   5.9882116589100385E+08   1.7947259761844301E+27   1.8002263537972854E+18   8.6840532176631002E-01   0.0000000000000000E+00   1.3734432165679085E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.7344559594959718E-12   4.9742783012014574E-01   0.0000000000000000E+00   4.9831277198060531E-01   4.2439196445962484E-03   1.5476571210115793E-05   1.6807014672132963E-09   3.5754112656425653E-16   4.1907756953937968E-24   9.3003547685930734E-34   3.2870203674131837E-45   1.0659761281684966E-58   1.9241845402617962E-73   0.0000000000000000E+00   1.7730963245311712E-91                      ---                      ---
   4:    6.9611778106595762E+29   3.9649785064251618E+06   1.7842776786224015E+00   2.6613285810301337E+09   5.9823146043371534E+08   1.7908025975902963E+27   1.7991270921092227E+18   8.6843446689399684E-01   0.0000000000000000E+00   1.3734431668879294E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.7327239247442965E-12   4.9742789336832538E-01   0.0000000000000000E+00   4.9831281369568653E-01   4.2438151553528597E-03   1.5476097336068847E-05   1.6805596804990714E-09   3.5749938648520924E-16   4.1900455646976888E-24   9.2981068531045643E-34   3.2858780383402731E-45   1.0654319427676104E-58   1.9228985151675702E-73   0.0000000000000000E+00   1.7716576092361120E-91                      ---                      ---
   5:    9.9999999999953474E+29   4.4754306342457570E+06   2.0139310806561244E+00   2.6567105854497766E+09   5.9760489208335698E+08   1.7866397478487367E+27   1.7979587712804721E+18   8.6846546578697448E-01   0.0000000000000000E+00   1.3734431091398950E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.7306925359740616E-12   4.9742796688819546E-01   0.0000000000000000E+00   4.9831286218447968E-01   4.2436936983677219E-03   1.5475545824279759E-05   1.6803954688879731E-09   3.5745105700729496E-16   4.1892016745834636E-24   9.2955136852905060E-34   3.2845643074378017E-45   1.0648087874661163E-58   1.9214316056762701E-73   0.0000000000000000E+00   1.7700218789615420E-91                      ---                      ---
   6:    1.3428633252745263E+30   4.9393399572783234E+06   2.2226276017648727E+00   2.6519615938327718E+09   5.9696001862323749E+08   1.7823613605292763E+27   1.7967559119076562E+18   8.6849740806909204E-01   0.0000000000000000E+00   1.3734430454279249E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.7284303152779650E-12   4.9742804800101637E-01   0.0000000000000000E+00   4.9831291567998826E-01   4.2435596994763788E-03   1.5474936568865892E-05   1.6802149873236208E-09   3.5739795210845019E-16   4.1882761118787520E-24   9.2926751812675008E-34   3.2831308363307323E-45   1.0641318254970399E-58   1.9198443213331175E-73   0.0000000000000000E+00   1.7682576816718245E-91                      ---                      ---
   7:    1.7264416518296091E+30   5.3728243141862769E+06   2.4176206368777455E+00   2.6471306825429945E+09   5.9630348242623496E+08   1.7780118253080451E+27   1.7955308409663987E+18   8.6852997002087529E-01   0.0000000000000000E+00   1.3734429769332548E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.7259752872292892E-12   4.9742813520296858E-01   0.0000000000000000E+00   4.9831297319021928E-01   4.2434156433320547E-03   1.5474280725574295E-05   1.6800216979199057E-09   3.5734109155348244E-16   4.1872869187182717E-24   9.2896474997903790E-34   3.2816066263156968E-45   1.0634151373852227E-58   1.9181703423623707E-73   0.0000000000000000E+00   1.7664029419107221E-91                      ---                      ---
   8:    2.1519480749731376E+30   5.7844297728337757E+06   2.6027560158475578E+00   2.6421866836956291E+09   5.9563102450242579E+08   1.7735632460206578E+27   1.7942755628855516E+18   8.6856336746180329E-01   0.0000000000000000E+00   1.3734429035780707E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.7233207753080066E-12   4.9742822859315067E-01   0.0000000000000000E+00   4.9831303478033789E-01   4.2432613665537846E-03   1.5473577412001488E-05   1.6798154927333990E-09   3.5728044428649304E-16   4.1862338090431191E-24   9.2864305333910245E-34   3.2799922121370137E-45   1.0626593195859706E-58   1.9164116239045588E-73   0.0000000000000000E+00   1.7644602102274736E-91                      ---                      ---
   9:    2.6199836119821814E+30   6.1790053563027531E+06   2.7802158561144950E+00   2.6371176465078287E+09   5.9494098652599871E+08   1.7690050761884472E+27   1.7929869266395067E+18   8.6859768779766333E-01   0.0000000000000000E+00   1.3734428254302570E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.7204650929540913E-12   4.9742832808517157E-01   0.0000000000000000E+00   4.9831310039316806E-01   4.2430970122025215E-03   1.5472827133931226E-05   1.6795966788270523E-09   3.5721610108195781E-16   4.1851186206472922E-24   9.2830306757256068E-34   3.2782913965793540E-45   1.0618664952407711E-58   1.9145736430795833E-73   0.0000000000000000E+00   1.7624358873056314E-91                      ---                      ---
  10:    3.1304576633028770E+30   6.5593644007670209E+06   2.9512662832430596E+00   2.6319237203287687E+09   5.9423335198593211E+08   1.7643376726842803E+27   1.7916648442643374E+18   8.6863293706119515E-01   0.0000000000000000E+00   1.3734427426830777E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.7174110614838810E-12   4.9742843343301507E-01   0.0000000000000000E+00   4.9831316986626306E-01   4.2429229870316835E-03   1.5472031599999273E-05   1.6793659128922134E-09   3.5714825517562515E-16   4.1839449584587625E-24   9.2794596657615716E-34   3.2765106175869993E-45   1.0610399840731449E-58   1.9126645644482436E-73   0.0000000000000000E+00   1.7603392460963752E-91                      ---                      ---
